div_id,old_id,name_n,name_ref,name,addname,role,type
obj1301,Obj1317,obj1301-on-1,org:org_001,"Academie de L’industrie agricole, manufacturiere et commerciale",,sender,
obj1301,Obj1317,obj1301-m-1,ppl:amontmorency,"Duc de Montmorency,",,,
obj1302,Obj1318,obj1302-s-1,ppl:jqt,Josiah Quincy,,sender,
obj1302,Obj1318,obj1302-on-2,org:org_040,the University of Harvard College,,,
obj1303,Obj1319,obj1303-on-3,org:org_102,Societe Philotechnique de Paris,,sender,
obj1304,Obj1320,obj1304-s-1,ppl:dvaucel,D. Vaucel,,sender,
obj1305,Obj1321,obj1305-s-1,ppl:dvaucel,Vaucel,,sender,
obj1306,Obj1322,obj1306-s-1,ppl:rbidd,Biddle,,sender,
obj1307,Obj1323,obj1307-s-1,ppl:gmmcmahon,Dr GM McMahon,,sender,
obj1308,Obj1324,obj1308-s-1,ppl:dvaucel,D. Vaucel,,sender,
obj1309,Obj1325,obj1309-s-1,ppl:mrsamcmahon,Mrs McMahon,,sender,
obj1310,Obj1326,obj1310-s-1,ppl:dvaucel,D. Vaucel,,sender,
obj1311,Obj1327,obj1311-s-1,ppl:adbache,Dallas Backe,,sender,
obj1311,Obj1327,obj1311-s-2,ppl:bsmith,Doc B Smith,,sender,
obj1311,Obj1327,obj1311-s-3,ppl:whkeating,William Keating,,sender,
obj1311,Obj1327,obj1311-s-4,ppl:dfgoudie,D. Francis Goudie,,sender,
obj1311,Obj1327,obj1311-on-4,org:org_080,Pennsylvania Library of Foreign Literature and Science,,,
obj1311,Obj1327,obj1311-on-5,org:org_043,President Hottinguer and Co [bank] Paris,,,
obj1311,Obj1327,obj1311-m-2,ppl:isaaclea,Mr Isaac Lea,,,
obj1312,Obj1328,obj1312-s-1,ppl:cji,"C.J. Ingersoll,",,sender,
obj1312,Obj1328,obj1312-s-2,ppl:jswharton,J.S Wharton,,sender,
obj1312,Obj1328,obj1312-s-3,ppl:hdgilpin,H. D. Gilpin,,sender,
obj1312,Obj1328,obj1312-m-3,ppl:fbradley,F. Bradley,,,
obj1313,Obj1329,obj1313-s-1,ppl:dvaucel,D. Vaucel,,sender,
obj1314,Obj1330,obj1314-s-1,ppl:jbro,James Brown,,sender,
obj1314,Obj1330,obj1314-m-4,ppl:dfkenner,Duncan Kenner,,intro,
obj1315,Obj1331,obj1315-s-1,ppl:gparkman,"George Parkman, S.A.,",,sender,
obj1315,Obj1331,obj1315-m-5,ppl:humatherton,Humphrey Atherton,,intro,
obj1315,Obj1331,obj1315-m-6,ppl:jbarlow,Mr Barlow,,,
obj1315,Obj1331,obj1315-m-7,ppl:mrsbomford,"Mrs Baldwin, now Mrs Bomford",,,
obj1316,Obj1332,obj1316-s-1,ppl:rlmussey,Dr R L Mussey,,sender,
obj1316,Obj1332,obj1316-m-8,ppl:humatherton,Humphrey Atherton,,,
obj1317,Obj1332,obj1317-s-1,ppl:csjackson,Charles S. Jackson,,sender,
obj1317,Obj1332,obj1317-m-9,ppl:dgardner,Mr Gardner,,intro,
obj1318,Obj1333,obj1318-s-1,ppl:fcgray,F. C Grey,,sender,
obj1318,Obj1333,obj1318-m-10,ppl:henbowditch,Dr Bowditch,,,
obj1318,Obj1333,obj1318-m-11,ppl:csu,Sumner,,,
obj1319,Obj1334,obj1319-s-1,ppl:djmccord,Colonel MacCord,,sender,
obj1319,Obj1334,obj1319-m-12,ppl:drwcrawford,Dr Crawford,,intro,
obj1319,Obj1334,obj1319-m-13,ppl:mrdelavaux,Mr Delavaux,,,
obj1320,Obj1335,obj1320-s-1,ppl:dhos,Dr Hosack,,sender,
obj1320,Obj1335,obj1320-m-14,ppl:humatherton,Mr [Atherton],,,
obj1320,Obj1335,obj1320-m-15,ppl:mrshumatherton,Mrs Atherton,,,
obj1320,Obj1335,obj1320-m-16,ppl:mrwilliams,Mr [Williams],,,
obj1320,Obj1335,obj1320-m-17,ppl:mrswilliams,Mrs Williams,,,
obj1320,Obj1335,obj1320-m-18,ppl:amdj,Moreau de Jonnes,,,
obj1320,Obj1335,obj1320-m-19,ppl:famichaux,Michaux,,,
obj1320,Obj1335,obj1320-m-20,ppl:rddelisle,Delisle,,,
obj1320,Obj1335,obj1320-m-21,ppl:tdmontpelier,Montpelier,,,
obj1321,Obj1336,obj1321-s-1,ppl:hjnott,"Henry Junius Nott,",,sender,
obj1321,Obj1336,obj1321-on-6,org:org_107,South Carolina College,,,
obj1321,Obj1336,obj1321-m-22,ppl:drwcrawford,Dr William Crawford,,intro,
obj1322,Obj1337,obj1322-s-1,ppl:jpcmacmahon,Col J MacMahon,,sender,
obj1322,Obj1337,obj1322-m-23,ppl:icbarnet,Barnet,,,
obj1322,Obj1337,obj1322-m-b999,ppl:elivingston,[Edward] Livingston,,,
obj1322,Obj1337,obj1322-m-a999,ppl:wcr,Mr Rives,,,
obj1322,Obj1337,obj1322-m-c999,ppl:nnj,Niles,,,
