place_id,name_cln,text,unknown_uncertain,geog_name,address,settlement,region,country,continent,modern_french_region,name_n_ids
place_169,Lyon,Lyon,,,,Lyon,Lyon,France,,Auvergne-Rhone-Alpes,obj1827-pl-890
place_170,Lyons,Lyons,,,,Lyon,Lyon,France,,Auvergne-Rhone-Alpes,obj1089-pl-480
place_171,Madeira,Madeira,,,,,Madeira,Portugal,,,obj1719-pl-738
place_172,Madrid,Madrid,,,,Madrid,,Spain,,,obj1184-pl-661 || obj1395-pl-129 || obj1528-pl-383 || obj1528-pl-384 || obj1528-pl-387 || obj1560-pl-466
place_173,"Brunswick, Maine","Brunswick, Maine",,,,Brunswick,Maine,United States of America,,,obj1316-pl-15
place_174,Maine,Maine,,,,,Maine,United States of America,,,obj1574-pl-498
place_175,"c/o US Consul, Malaga","c/o US Consul, Malaga",,,c/o US Consul,Malaga,,Spain,,,obj1560-pl-463
place_176,Malaga,Malaga,,,,Malaga,,Spain,,,obj1560-pl-468
place_177,Marseilles,Marseilles,,,,Marseilles,Bouches-du-Rhône,France,,Provence-Alpes-Côte d'Azur,obj1662-pl-642 || obj1664-pl-652
place_178,Maryland,Maryland,,,,,Maryland,United States of America,,,obj1098-pl-500 || obj1517-pl-362 || obj1846-pl-921
place_179,MD,MD,,,,,Maryland,United States of America,,,obj1452-pl-240
place_180,"Cambridge, Mass","Cambridge, [Mass]",,,,Cambridge,Massachusetts,United States of America,,,obj1302-pl-1
place_181,"Cambridge, Mass","Cambridge, Mass",,,,Cambridge,Massachusetts,United States of America,,,obj1051-pl-445 || obj1236-pl-722 || obj1411-pl-156 || obj1480-pl-304 || obj1624a-pl-571 || obj1760-pl-805
place_182,"Leworth , Mass","Leworth [?], Mass",,,,Leworth,Massachusetts,United States of America,,,obj1584-pl-510
place_183,Massach,Massach,,,,,Massachusetts,United States of America,,,obj800-pl-76
place_184,Cambridge Harvard,Cambridge [Harvard],,,,Cambridge,Massachusetts,United States of America,,,obj1692-pl-694
place_185,Cambridge Mass,Cambridge Mass.,,,,Cambridge,Massachusetts,United States of America,,,obj1205-pl-685
place_186,"Boston, MA","Boston, MA",,,,Boston,Massachusetts,United States of America,,,obj831-pl-111
place_187,"Cambridge, MA","Cambridge, MA",,,,Cambridge,Massachusetts,United States of America,,,obj1690-pl-692
place_188,Worcester Mass,Worcester Mass,,,,Worcester,Massachusetts,United States of America,,,obj1666-pl-656
place_189,"Laval, Mayenne","Laval, Mayenne",,,,Laval,Mayenne,France,,Pays de la Loire,obj1259-pl-762
place_190,Merthyr Tydvil,Merthyr Tydvil,,,,Merthyr Tydfil,,Wales,,,obj1137-pl-587
place_191,Metz,Metz,,,,Metz,Moselle,France,,Grand Est,obj1150-pl-612
place_192,Mexico,Mexico,,,,,,Mexico,,,obj1004-pl-374 || obj1122-pl-542 || obj1169-pl-638 || obj1260-pl-772 || obj1395-pl-130 || obj1492-pl-313 || obj1544-pl-433 || obj1838-pl-901 || obj1891-pl-952
place_193,Michigan,Michigan,,,,,Michigan,United States of America,,,obj1662-pl-641
place_194,"Woodville, Missippi","Woodville, Missippi",,,,Woodville,Mississippi,United States of America,,,obj1383-pl-117
place_195,Mississippi,Mississippi,,,,,Mississippi,United States of America,,,obj1330-pl-43 || obj1850-pl-933
place_196,Mississippi Valley,Mississippi Valley,,Mississippi Valley,,,Mississippi,United States of America,,,obj1288-pl-827
place_197,"Jefferson Barracks, Missouri","Jefferson Barracks, Missouri",,,Jefferson Barracks,Lemay,Missouri,United States of America,,,obj1333-pl-48
place_198,Mobile,Mobile,,,,Mobile,Alabama,United States of America,,,obj1747-pl-780
place_199,Montanbar,Montanbar,,,,,Montauban,France,,Occitanie,obj1040-pl-421
place_200,Montefiascone,Montefiascone,,,,Montefiascone,Lazio,Italy,,,obj1826-pl-879
place_201,Monticello,Monticello,,,Monticello,,Virginia,United States of America,,,obj953-pl-306 || obj998-pl-366 || obj1039-pl-418
place_202,Montmartre,Montmartre,,,,Paris,Paris,France,,Ile-de-France,obj964-pl-319 || obj966-pl-322
place_203,Montmorence,Montmorence,,,,Montmorency,Val d'Oise,France,,Ile-de-France,obj1030-pl-407
place_204,Montpellier,Montpellier,,,,Montpellier,Herault,France,,Occitanie,obj1099-pl-508
place_205,Moselle,Moselle,,,,,Moselle,France,,Grand Est,obj1827-pl-884
place_206,Mount Vernon,Mount Vernon,,,,Mount Vernon,Virginia,United States of America,,,obj1065-pl-457
place_207,Mountmorence,Mountmorence,,,,Montmorency,Val d'Oise,France,,Ile-de-France,obj1027-pl-404
place_208,Munich,Munich,,,,Munich,,Germany,,,obj1524-pl-374
place_209,Nancy,Nancy,,,,Nancy,Meurthe-et-Moselle,France,,Grand Est,obj807-pl-93
place_210,Nantucket,Nantucket,,,,Nantucket,Massachusetts,United States of America,,,obj1652-pl-619 || obj1652-pl-620 || obj1661-pl-633 || obj1718-pl-733 || obj1844-pl-911
place_211,Naples,Naples,,,,Naples,,Italy,,,obj1332-pl-47
place_212,Nashville,Nashville,,,,Nashville,Tennessee,United States of America,,,obj1645-pl-600
place_213,New Bedford,New Bedford,,,,New Bedford,Massachusetts,United States of America,,,obj1661-pl-636
place_214,New England,New England,,,,,New England,United States of America,,,obj1662-pl-645 || obj1751-pl-784 || obj1757-pl-798
place_215,New Haven,New Haven,,,,New Haven,Connecticut,United States of America,,,obj1213-pl-699
place_216,New Holland,New Holland,,,,,New Holland,Australia,,,obj972-pl-332
place_217,New Jersey,New Jersey,,,,,New Jersey,United States of America,,,obj900-pl-226
place_218,NJ,NJ,,,,,New Jersey,United States of America,,,obj1554-pl-454
place_219,New Mexico,New Mexico,,,,,New Mexico,United States of America,,,obj1856-pl-934
place_220,New Orleans,New Orleans,,,,New Orleans,Louisiana,United States of America,,,obj834-pl-115 || obj836-pl-125 || obj963-pl-318 || obj1272-pl-798 || obj1314-pl-11 || obj1333-pl-52 || obj1492-pl-317 || obj1517-pl-359 || obj1684-pl-683 || obj1686-pl-686 || obj1691-pl-693 || obj1863-pl-940
place_221,New Philadelphia,New Philadelphia,,,,New Philadelphia,Ohio,United States of America,,,obj1145-pl-604
place_222,BY,BY,,,,New York,New York state,United States of America,,,obj1266-pl-784
place_223,N Y,N Y,,,,New York,New York state,United States of America,,,obj1560-pl-469
place_224,N York,N York,,,,New York,New York state,United States of America,,,obj1741-pl-768
place_225,N.Y,N.Y.,,,,New York,New York state,United States of America,,,obj952-pl-298
place_226,"Courtland St, New York","46 Courtland St, New York",,,Courtland St,New York,New York state,United States of America,,,obj1252-pl-745
place_227,"Fulton Street, New York","143 Fulton Street, New York",,,Fulton Street,New York,New York state,United States of America,,,obj902-pl-230
place_228,"Greenwich Street, New York","313 Greenwich Street, New York",,,Greenwich Street,New York,New York state,United States of America,,,obj1047-pl-438
place_229,"Harrison Street, New York","15 Harrison Street, New York",,,Harrison Street,New York,New York state,United States of America,,,obj1610-pl-552
place_230,New York,New York,,,,New York,New York state,United States of America,,,obj758-pl-10 || obj767-pl-21 || obj797-pl-70 || obj802-pl-84 || obj825-pl-107 || obj839-pl-129 || obj839-pl-134 || obj854-pl-157 || obj860-pl-164 || obj860-pl-165 || obj864-pl-176 || obj888-pl-198 || obj894-pl-205 || obj900-pl-220 || obj909-pl-239 || obj909-pl-240 || obj926-pl-259 || obj941-pl-271 || obj942-pl-273 || obj946-pl-277 || obj947-pl-278 || obj951-pl-290 || obj963-pl-317 || obj968-pl-325 || obj969-pl-326 || obj972-pl-329 || obj973-pl-337 || obj974-pl-338 || obj1001-pl-370 || obj1005-pl-377 || obj1018-pl-391 || obj1022-pl-398 || obj1023-pl-399 || obj1028-pl-405 || obj1029-pl-406 || obj1033-pl-413 || obj1035-pl-415 || obj1037-pl-417 || obj1049-pl-441 || obj1057-pl-448 || obj1060-pl-450 || obj1068-pl-458 || obj1069-pl-459 || obj1074-pl-463 || obj1075-pl-464 || obj1076-pl-467 || obj1079-pl-471 || obj1083-pl-476 || obj1084-pl-477 || obj1086-pl-478 || obj1092-pl-485 || obj1094-pl-489 || obj1098-pl-499 || obj1101-pl-512 || obj1121-pl-536 || obj1124-pl-549 || obj1128-pl-560 || obj1129-pl-561 || obj1130-pl-562 || obj1131-pl-565 || obj1132-pl-566 || obj1134-pl-570 || obj1134-pl-575 || obj1143-pl-598 || obj1144-pl-599 || obj1146-pl-608 || obj1147-pl-609 || obj1150-pl-610 || obj1150-pl-611 || obj1155-pl-621 || obj1171-pl-640 || obj1177-pl-650 || obj1179-pl-652 || obj1180-pl-654 || obj1182-pl-655 || obj1192-pl-671 || obj1192-pl-672 || obj1194-pl-674 || obj1212-pl-698 || obj1228-pl-715 || obj1238-pl-728 || obj1255-pl-753 || obj1255-pl-754 || obj1256-pl-756 || obj1258-pl-761 || obj1270-pl-788 || obj1276-pl-804 || obj1277-pl-805 || obj1279-pl-810 || obj1281-pl-813 || obj1293-pl-835 || obj1295-pl-838 || obj1297-pl-841 || obj1311-pl-5 || obj1327-pl-31 || obj1327-pl-32 || obj1345-pl-64 || obj1348-pl-66 || obj1366-pl-96 || obj1369-pl-98 || obj1372-pl-103 || obj1392-pl-124 || obj1398-pl-137 || obj1399-pl-141 || obj1412-pl-157 || obj1414-pl-160 || obj1422-pl-169 || obj1423-pl-174 || obj1463-pl-261 || obj1469-pl-272 || obj1470-pl-274 || obj1475-pl-286 || obj1497-pl-327 || obj1514-pl-353 || obj1538-pl-422 || obj1540-pl-426 || obj1544-pl-437 || obj1558-pl-461 || obj1568-pl-483 || obj1580-pl-506 || obj1590-pl-522 || obj1591-pl-523 || obj1600-pl-537 || obj1601-pl-539 || obj1617-pl-560 || obj1625-pl-572 || obj1629-pl-585 || obj1642-pl-592 || obj1650-pl-611 || obj1651-pl-616 || obj1661-pl-639 || obj1662-pl-644 || obj1685-pl-684 || obj1710-pl-725 || obj1712-pl-726 || obj1717-pl-732 || obj1734-pl-757 || obj1743-pl-771 || obj1746-pl-774 || obj1747-pl-777 || obj1754-pl-789 || obj1756-pl-791 || obj1768-pl-820 || obj1771-pl-827 || obj1773-pl-833 || obj1773-pl-834 || obj1782-pl-847 || obj1783-pl-849 || obj1786-pl-857 || obj1825-pl-876
place_231,"Troy, New York","Troy, New York",,,Troy,New York,New York state,United States of America,,,obj1572-pl-491
place_232,"Wall Street, New York","34 Wall Street, New York",,,Wall Street,New York,New York state,United States of America,,,obj1393-pl-126
place_233,"Wall Street, New York","Wall Street, New York",,,Wall Street,New York,New York state,United States of America,,,obj863-pl-172
place_234,"Astor House, NY","Astor House, NY",,,Astor House,New York,New York state,United States of America,,,obj1677-pl-675
place_235,NY,NY,,,,New York,New York state,United States of America,,,obj755-pl-8 || obj759-pl-11 || obj766-pl-20 || obj773-pl-35 || obj774-pl-42 || obj777-pl-45 || obj784-pl-58 || obj794-pl-69 || obj807-pl-92 || obj847-pl-143 || obj1125-pl-551 || obj1218-pl-707 || obj1276-pl-803 || obj1280-pl-812 || obj1352-pl-70 || obj1353-pl-74 || obj1382-pl-116 || obj1412-pl-158 || obj1427-pl-180 || obj1428-pl-185 || obj1431-pl-190 || obj1432-pl-191 || obj1434-pl-194 || obj1440-pl-208 || obj1440-pl-209 || obj1443-pl-214 || obj1448-pl-229 || obj1450-pl-232 || obj1472-pl-278 || obj1475-pl-285 || obj1492-pl-311 || obj1492-pl-312 || obj1505-pl-337 || obj1520-pl-365 || obj1520-pl-366 || obj1523-pl-373 || obj1535-pl-419 || obj1601-pl-540 || obj1604-pl-547 || obj1627-pl-576 || obj1650-pl-610 || obj1683-pl-680 || obj1683-pl-681 || obj1697-pl-705 || obj1719-pl-736 || obj1741-pl-767 || obj1753-pl-786 || obj1765-pl-815 || obj1767-pl-818 || obj1776-pl-840 || obj1781-pl-844 || obj1785-pl-855
place_236,"Wall St, NY","Wall St, NY",,,Wall St,New York,New York state,United States of America,,,obj872-pl-185
place_237,NYC,NYC,,,,New York,New York state,United States of America,,,obj909-pl-242
place_238,State of New York,State of New York,,,,,New York state,United States of America,,,obj1427-pl-181 || obj1729-pl-751 || obj1788-pl-859
place_239,State of NY,State of NY,,,,,New York state,United States of America,,,obj1450-pl-233
place_240,Newburg,Newburg,,,,Newburgh,New York state,United States of America,,,obj1662-pl-646
place_241,Newtown Newtownards,Newtown [Newtownards],,,,Newtownards,Down,Ireland,,,obj1730-pl-753
place_242,Nîmes,Nîmes,,,,Nîmes,Gard,France,,Occitanie,obj1827-pl-887
place_243,Nootka,Nootka,,Nootka,,,,Canada,,,obj1844-pl-912
place_244,N America,N America,,,,,,,North America,,obj1453-pl-242
place_245,North America,North America,,,,,,,North America,,obj937-pl-268 || obj1026-pl-402
place_246,N Carolina,N Carolina,,,,,North Carolina,United States of America,,,obj1470-pl-275
place_247,NC,NC,,,,,North Carolina,United States of America,,,obj1530-pl-392
place_248,North Carolina,North Carolina,,,,,North Carolina,United States of America,,,obj1095-pl-493 || obj1330-pl-42 || obj1448-pl-230 || obj1836-pl-896
place_249,Oaxaca,Oaxaca,,,,,Oaxaca,Mexico,,,obj1093-pl-488
place_250,Ohio,Ohio,,,,,Ohio,United States of America,,,obj848-pl-145 || obj1545-pl-438
place_251,Oregon,Oregon,,,,,Oregon,United States of America,,,obj1663-pl-650
place_252,Pacific Ocean,Pacific Ocean,,Pacific Ocean,,,,,,,obj780-pl-52
place_253,Palenque,Palenque,,,,Palenque,,Mexico,,,obj1093-pl-487 || obj1439-pl-207
place_254,Palermo,Palermo,,,,Palermo,,Italy,,,obj1317-pl-16
place_255,Panama,Panama,,,,,,Panama,,,obj1841-pl-904
place_256,Euceinta de la Muette,Euceinta de la Muette,,,Enceinta de la Muette,Passy,Paris,France,,Ile-de-France,obj1602-pl-542
place_257,N. Paris,N. Paris,,,,Paris,Paris,France,,Ile-de-France,obj965-pl-321
place_258,"Lyons, Paris","Lyons, Paris,","Lyons, Paris",,,,,France,,,obj781-pl-54
place_259,Paris,[Paris],,,,Paris,Paris,France,,Ile-de-France,obj1608-pl-551
place_260,Paris,Paris,,,,Paris,Paris,France,,Ile-de-France,obj754-pl-2 || obj755-pl-7 || obj764-pl-19 || obj769-pl-24 || obj770-pl-30 || obj773-pl-33 || obj773-pl-37 || obj779-pl-47 || obj780-pl-50 || obj783-pl-56 || obj789-pl-62 || obj791-pl-66 || obj798-pl-71 || obj800-pl-77 || obj801-pl-79 || obj806-pl-91 || obj807-pl-95 || obj808-pl-97 || obj809-pl-99 || obj839-pl-130 || obj839-pl-133 || obj842-pl-135 || obj850-pl-148 || obj851-pl-149 || obj852-pl-150 || obj857-pl-160 || obj859-pl-163 || obj862-pl-169 || obj864-pl-175 || obj869-pl-182 || obj879-pl-193 || obj881-pl-194 || obj883-pl-195 || obj888-pl-200 || obj892-pl-202 || obj893-pl-204 || obj894-pl-207 || obj895-pl-211 || obj897-pl-216 || obj900-pl-222 || obj901-pl-227 || obj908-pl-235 || obj909-pl-241 || obj915-pl-250 || obj918-pl-252 || obj919-pl-253 || obj920-pl-254 || obj922-pl-256 || obj930-pl-263 || obj940-pl-270 || obj941-pl-272 || obj944-pl-276 || obj962-pl-314 || obj963-pl-316 || obj964-pl-320 || obj972-pl-328 || obj976-pl-340 || obj977-pl-342 || obj979-pl-345 || obj980-pl-348 || obj987-pl-352 || obj988-pl-353 || obj990-pl-355 || obj991-pl-357 || obj992-pl-359 || obj995-pl-363 || obj996-pl-364 || obj1001-pl-371 || obj1005-pl-378 || obj1010-pl-383 || obj1019-pl-393 || obj1020-pl-397 || obj1023-pl-400 || obj1024-pl-401 || obj1027-pl-403 || obj1032-pl-410 || obj1040-pl-420 || obj1041-pl-423 || obj1042-pl-429 || obj1047-pl-439 || obj1052-pl-446 || obj1057-pl-449 || obj1071-pl-462 || obj1078-pl-470 || obj1079-pl-472 || obj1096-pl-495 || obj1098-pl-502 || obj1099-pl-507 || obj1100-pl-511 || obj1102-pl-515 || obj1102-pl-519 || obj1103-pl-521 || obj1107-pl-527 || obj1121-pl-537 || obj1123-pl-547 || obj1124-pl-550 || obj1125-pl-552 || obj1126-pl-554 || obj1134-pl-571 || obj1134-pl-573 || obj1137-pl-578 || obj1141-pl-596 || obj1145-pl-602 || obj1151-pl-614 || obj1159-pl-627 || obj1168-pl-636 || obj1171-pl-641 || obj1173-pl-645 || obj1178-pl-651 || obj1179-pl-653 || obj1183-pl-657 || obj1184-pl-660 || obj1185-pl-664 || obj1187-pl-665 || obj1189-pl-668 || obj1191-pl-670 || obj1195-pl-677 || obj1196-pl-678 || obj1199-pl-679 || obj1203-pl-682 || obj1205-pl-686 || obj1219-pl-708 || obj1221-pl-709 || obj1226-pl-712 || obj1235-pl-720 || obj1237-pl-725 || obj1240-pl-730 || obj1243-pl-731 || obj1249-pl-738 || obj1252-pl-742 || obj1252-pl-743 || obj1253-pl-746 || obj1253-pl-748 || obj1254-pl-751 || obj1257-pl-757 || obj1257-pl-758 || obj1260-pl-776 || obj1270-pl-787 || obj1274-pl-801 || obj1277-pl-806 || obj1281-pl-814 || obj1286-pl-823 || obj1288-pl-828 || obj1290-pl-832 || obj1293-pl-836 || obj1311-pl-7 || obj1312-pl-9 || obj1315-pl-14 || obj1317-pl-17 || obj1322-pl-25 || obj1325-pl-29 || obj1329-pl-34 || obj1330-pl-37 || obj1333-pl-50 || obj1333-pl-53 || obj1335-pl-56 || obj1345-pl-62 || obj1353-pl-73 || obj1357-pl-78 || obj1358-pl-80 || obj1361-pl-87 || obj1363-pl-89 || obj1364-pl-91 || obj1366-pl-94 || obj1371-pl-101 || obj1377-pl-107 || obj1386-pl-120 || obj1391-pl-123 || obj1392-pl-125 || obj1395-pl-133 || obj1396-pl-134 || obj1397-pl-136 || obj1404-pl-145 || obj1410-pl-155 || obj1416-pl-163 || obj1417-pl-166 || obj1418-pl-167 || obj1422-pl-172 || obj1427-pl-184 || obj1429-pl-187 || obj1433-pl-193 || obj1434-pl-196 || obj1436-pl-198 || obj1439-pl-205 || obj1442-pl-213 || obj1444-pl-216 || obj1445-pl-222 || obj1445-pl-224 || obj1446-pl-225 || obj1450-pl-234 || obj1452-pl-239 || obj1455-pl-245 || obj1456-pl-248 || obj1458-pl-251 || obj1461-pl-258 || obj1462-pl-259 || obj1467-pl-267 || obj1468-pl-271 || obj1469-pl-273 || obj1471-pl-276 || obj1472-pl-279 || obj1474-pl-282 || obj1478-pl-297 || obj1478-pl-300 || obj1479-pl-302 || obj1492-pl-319 || obj1493-pl-322 || obj1495-pl-323 || obj1497-pl-325 || obj1497-pl-326 || obj1498-pl-329 || obj1501-pl-332 || obj1504-pl-336 || obj1509-pl-342 || obj1511-pl-347 || obj1512-pl-350 || obj1513-pl-352 || obj1514-pl-354 || obj1517-pl-360 || obj1517-pl-361 || obj1519-pl-364 || obj1520-pl-367 || obj1521-pl-369 || obj1531-pl-408 || obj1533-pl-412 || obj1534-pl-414 || obj1536-pl-421 || obj1538-pl-423 || obj1544-pl-432 || obj1546-pl-440 || obj1547-pl-443 || obj1547-pl-447 || obj1550-pl-452 || obj1556-pl-458 || obj1560-pl-467 || obj1561-pl-471 || obj1563-pl-473 || obj1567-pl-479 || obj1569-pl-487 || obj1571-pl-490 || obj1572-pl-492 || obj1573-pl-496 || obj1575-pl-500 || obj1576-pl-502 || obj1577-pl-503 || obj1581-pl-507 || obj1586-pl-512 || obj1587-pl-515 || obj1588-pl-520 || obj1589-pl-521 || obj1596-pl-529 || obj1597-pl-532 || obj1607-pl-549 || obj1610-pl-553 || obj1620-pl-564 || obj1624-pl-570 || obj1626-pl-574 || obj1628-pl-578 || obj1629-pl-587 || obj1632-pl-588 || obj1635-pl-591 || obj1645-pl-602 || obj1649-pl-608 || obj1650-pl-612 || obj1651-pl-615 || obj1652-pl-621 || obj1660-pl-631 || obj1661-pl-634 || obj1668-pl-660 || obj1669-pl-662 || obj1670-pl-667 || obj1671-pl-669 || obj1672-pl-671 || obj1674-pl-673 || obj1681-pl-678 || obj1692-pl-696 || obj1694-pl-701 || obj1700-pl-709 || obj1702-pl-710 || obj1702-pl-711 || obj1706-pl-716 || obj1707-pl-718 || obj1717-pl-731 || obj1721-pl-740 || obj1725-pl-747 || obj1735-pl-759 || obj1742-pl-770 || obj1745-pl-772 || obj1756-pl-793 || obj1758-pl-802 || obj1759-pl-804 || obj1760-pl-806 || obj1763-pl-812 || obj1766-pl-817 || obj1772-pl-832 || obj1774-pl-836 || obj1775-pl-839 || obj1776-pl-842 || -pl-852 || obj1786-pl-856 || obj1788-pl-858 || obj1789-pl-860 || obj1791-pl-863 || obj1825-pl-874 || obj1827-pl-885 || obj1845-pl-917 || obj1858-pl-937 || obj1863-pl-941
place_261,"Places des Italiens, Paris","5 Places des Italiens, Paris",,,Places des Italiens,Paris,Paris,France,,Ile-de-France,obj1570-pl-488
place_262,"US Consulate, Paris","US Consulate, Paris",,,US Consulate,Paris,Paris,France,,Ile-de-France,obj1655-pl-625
place_263,US Consulate Paris,US Consulate Paris,,,US Consulate,Paris,Paris,France,,Ile-de-France,obj1665-pl-654
place_264,"L’enceinte de la Muette, 7 Passy","L’enceinte de la Muette, 7 Passy",,,"L’enceinte de la Muette, Passy",Paris,Paris,France,,Ile-de-France,obj1578-pl-504
place_265,Passy,Passy,,,Passy,Paris,Paris,France,,Ile-de-France,obj1614-pl-558 || obj1665-pl-655
place_266,Pelenqup,Pelenqup,,,,Palenque,,Mexico,,,obj1427-pl-183
place_267,Pendleton,Pendleton,,,,Pendleton,South Carolina,United States of America,,,obj1530-pl-396
place_268,Penn,Penn,,,,,Pennsylvania,United States of America,,,obj1459-pl-253
place_269,"Bolton Farm, Bucks Co., PA","Bolton Farm, Bucks Co., PA",,,Bolton Farm,Bristol,Pennsylvania,United States of America,,,obj1459-pl-252
place_270,PA,PA,,,,,Pennsylvania,United States of America,,,obj1460-pl-255
place_271,"Bolton Farm, near Bristol, Pennsylvania","Bolton Farm, near Bristol, Pennsylvania",,,Bolton Farm,Bristol,Pennsylvania,United States of America,,,obj1246-pl-735
place_272,Pennsylvania,Pennsylvania,,,,,Pennsylvania,United States of America,,,obj930-pl-261 || obj950-pl-285 || obj1311-pl-4 || obj1526-pl-379 || obj1621-pl-566
place_273,Pensa,Pensa,,,,,Pennsylvania,United States of America,,,obj1473-pl-280
place_274,Ohi,Ohi.,,,,Philadelphia,Pennsylvania,United States of America,,,obj1710-pl-724
place_275,Phi,"Phi,",,,,Philadelphia,Pennsylvania,United States of America,,,obj1739-pl-765
place_276,Phil,Phil,,,,Philadelphia,Pennsylvania,United States of America,,,obj1314-pl-10 || obj1320-pl-21 || obj1329-pl-33 || obj1352-pl-71 || obj1373-pl-104 || obj1439-pl-202 || obj1451-pl-236 || obj1670-pl-664 || obj1703-pl-712
place_277,Phila,Phila,,,,Philadelphia,Pennsylvania,United States of America,,,obj1263-pl-782
place_278,Philadelphia,[Philadelphia],,,,Philadelphia,Pennsylvania,United States of America,,,obj859-pl-161
place_279,Philadelphia,Philadelphia,,,,Philadelphia,Pennsylvania,United States of America,,,obj755-pl-4 || obj759-pl-12 || obj787-pl-60 || obj792-pl-68 || obj802-pl-82 || obj818-pl-104 || obj819-pl-105 || obj820-pl-106 || obj855-pl-159 || obj906-pl-232 || obj908-pl-233 || obj951-pl-291 || obj952-pl-297 || obj952-pl-299 || obj959-pl-312 || obj967-pl-323 || obj978-pl-343 || obj1036-pl-416 || obj1045-pl-437 || obj1063-pl-454 || obj1104-pl-524 || obj1122-pl-538 || obj1122-pl-545 || obj1127-pl-558 || obj1127-pl-559 || obj1130-pl-563 || obj1137-pl-589 || obj1153-pl-618 || obj1177-pl-649 || obj1188-pl-666 || obj1203-pl-681 || obj1206-pl-688 || obj1222-pl-710 || obj1238-pl-727 || obj1260-pl-774 || obj1273-pl-799 || obj1285-pl-822 || obj1292-pl-833 || obj1311-pl-3 || obj1312-pl-8 || obj1315-pl-13 || obj1326-pl-30 || obj1344-pl-59 || obj1355-pl-76 || obj1356-pl-77 || obj1361-pl-85 || obj1382-pl-114 || obj1395-pl-128 || obj1397-pl-135 || obj1398-pl-139 || obj1409-pl-154 || obj1419-pl-168 || obj1426-pl-178 || obj1429-pl-186 || obj1430-pl-188 || obj1439-pl-203 || obj1441-pl-211 || obj1451-pl-235 || obj1453-pl-241 || obj1456-pl-247 || obj1458-pl-250 || obj1460-pl-254 || obj1461-pl-257 || obj1474-pl-283 || obj1481-pl-305 || obj1500-pl-330 || obj1506-pl-339 || obj1507-pl-340 || obj1509-pl-341 || obj1525-pl-376 || obj1526-pl-378 || obj1527-pl-381 || obj1529-pl-389 || obj1539-pl-425 || obj1554-pl-453 || obj1563-pl-472 || obj1567-pl-481 || obj1569-pl-485 || obj1573-pl-495 || obj1592-pl-524 || obj1598-pl-533 || obj1601-pl-541 || obj1635-pl-589 || obj1648-pl-606 || obj1648-pl-607 || obj1653-pl-623 || obj1659-pl-629 || obj1675-pl-674 || obj1687-pl-687 || obj1698-pl-706 || obj1703-pl-714 || obj1709-pl-723 || obj1715-pl-728 || obj1716-pl-729 || obj1717-pl-730 || obj1720-pl-739 || obj1722-pl-741 || obj1732-pl-755 || obj1742-pl-769 || obj1756-pl-792 || obj1771-pl-828 || obj1775-pl-838
place_280,Philly,Philly,,,,Philadelphia,Pennsylvania,United States of America,,,obj847-pl-144
place_281,Pittsburgh,Pittsburgh,,,,Pittsburgh,Pennsylvania,United States of America,,,obj1042-pl-427
place_282,Place de Italians,5 Place de Italians,,,Place de Italians,Paris,Paris,France,,Ile-de-France,obj1174-pl-646
place_283,Place Louis 15,Place Louis 15,,,Place Louis,Paris,Paris,France,,Ile-de-France,obj1362-pl-88
place_284,Poland,Poland,,,,,,Poland,,,obj1270-pl-790
place_285,Portsmouth,Portsmouth,,,,Portsmouth,Hampshire,England,,,obj1137-pl-583 || obj1646-pl-604
place_286,Portugal,Portugal,,,,,,Portugal,,,obj859-pl-162 || obj1847-pl-924
place_287,Princeton,Princeton,,,,Princeton,New Jersey,United States of America,,,obj1260-pl-773
place_288,Providence,Providence,,,,Providence,Rhode Island,United States of America,,,obj1133-pl-569 || obj1170-pl-639
place_289,Prussia,Prussia,,,,,,Prussia,,,obj1271-pl-797
place_290,"Providence, Rhode Island","Providence, Rhode Island",,,,Providence,Rhode Island,United States of America,,,obj1132-pl-567
place_291,"Providence, RI","Providence, RI",,,,Providence,Rhode Island,United States of America,,,obj1050-pl-444 || obj1757-pl-795
place_292,Richmond,Richmond,,,,Richmond,Virginia,United States of America,,,obj768-pl-22 || obj953-pl-307 || obj1011-pl-384 || obj1095-pl-492 || obj1099-pl-505 || obj1100-pl-510 || obj1250-pl-740 || obj1292-pl-834 || obj1352-pl-68 || obj1352-pl-69 || obj1380-pl-110 || obj1381-pl-112 || obj1390-pl-121 || obj1466-pl-266 || obj1471-pl-277 || obj1752-pl-785
place_293,Rio Colombia,Rio Colombia,,Rio Colombia,,,,,,,obj1476-pl-291
place_294,Rockaway,Rockaway,,,Rockaway,New York,New York state,United States of America,,,obj902-pl-229
place_295,Roma,Roma,,,,Rome,,Italy,,,obj1126-pl-553
place_296,Rome,Rome,,,,Rome,,Italy,,,obj1504-pl-335 || obj1564-pl-474 || obj1645-pl-601 || obj1689-pl-690 || obj1746-pl-775
place_297,Rotterdam,Rotterdam,,,,Rotterdam,,Netherlands,,,obj1138-pl-592
place_298,Ruckesevres,Ruckesevres,,,Rue de Sevres,,Paris,France,,Ile-de-France,obj1087-pl-479
place_299,Rue Basse du Rempart,Rue Basse du Rempart,,,Rue Basse du Rempart,Paris,Paris,France,,Ile-de-France,obj1296-pl-840
place_300,Rue Beaujolais,7 Rue Beaujolais,,,Rue Beaujolais,Paris,Paris,France,,Ile-de-France,obj887-pl-197
