place_id,name_cln,text,unknown_uncertain,geog_name,address,settlement,region,country,continent,modern_french_region,name_n_ids
place_025,Boston,Boston,,,,Boston,Massachusetts,United States of America,,,obj833-pl-113 || obj864-pl-173 || obj864-pl-174 || obj1040-pl-419 || obj1043-pl-430 || obj1050-pl-443 || obj1110-pl-531 || obj1141-pl-594 || obj1153-pl-619 || obj1166-pl-633 || obj1166-pl-634 || obj1168-pl-637 || obj1174-pl-647 || obj1185-pl-662 || obj1205-pl-687 || obj1206-pl-690 || obj1210-pl-695 || obj1211-pl-696 || obj1211-pl-697 || obj1243-pl-732 || obj1275-pl-802 || obj1284-pl-819 || obj1285-pl-821 || obj1315-pl-12 || obj1344-pl-60 || obj1345-pl-63 || obj1353-pl-72 || obj1353-pl-75 || obj1364-pl-90 || obj1365-pl-92 || obj1365-pl-93 || obj1366-pl-95 || obj1371-pl-99 || obj1371-pl-100 || obj1445-pl-223 || obj1493-pl-320 || obj1493-pl-321 || obj1501-pl-331 || obj1502-pl-333 || obj1503-pl-334 || obj1520-pl-368 || obj1644-pl-598 || obj1646-pl-605 || obj1657-pl-628 || obj1661-pl-638 || obj1666-pl-657 || obj1669-pl-661 || obj1694-pl-699 || obj1694-pl-700 || obj1699-pl-707 || obj1735-pl-761 || obj1740-pl-766 || obj1757-pl-794 || obj1758-pl-799 || obj1758-pl-800 || obj1758-pl-801 || obj1759-pl-803 || obj1760-pl-809 || obj1857-pl-935 || obj1870-pl-946
place_026,Boulevd. Des Invalides,Boulevd. Des Invalides,,,Boulevard des Invalides,Paris,Paris,France,,,obj905-pl-231
place_027,Boulevard St Martin,Boulevard St Martin,,,Boulevard St Martin,Paris,Paris,France,,,obj1380-pl-111
place_028,Brasil,Brasil,,,,,,Brasil,,,obj1108-pl-528 || obj1477-pl-292 || obj1891-pl-955
place_029,Brighton,Brighton,,,,Brighton,Sussex,England,,,obj1137-pl-582
place_030,Bristol,Bristol,Bristol,,,,,,,,obj839-pl-132
place_031,Bristol,Bristol,,,,Bristol,Bristol,England,,,obj1137-pl-585
place_032,Britain,Britain,,,,,,Britain,,,obj952-pl-301 || obj1098-pl-504 || obj1259-pl-769
place_033,Brunwick,Brunwick,,,"Compton Street, Brunswick Place",London,London,England,,,obj1279-pl-811
place_034,Brussels,Brussels,,,,Brussels,,Belgium,,,obj1123-pl-546 || obj1334-pl-55 || obj1404-pl-144 || obj1521-pl-371 || obj1644-pl-595 || obj1708-pl-721
place_035,Buenos Ayres,Buenos Ayres,,,,Buenos Aires,,Argentina,,,obj1891-pl-953
place_036,Calais,Calais,,,,Calais,Pas-de-Calais,France,,Hauts-de-France,obj1478-pl-295
place_037,Cambray,Cambray,,,,Cambrai,Nord,France,,Hauts-de-France,obj870-pl-184
place_038,Cambridge,Cambridge,,,,Cambridge,Massachusetts,United States of America,,,obj926-pl-260 || obj1110-pl-533 || obj1700-pl-708
place_039,Canada,Canada,,,,,,Canada,,,obj972-pl-330
place_040,Cape Horn,Cape Horn,,Cape Horn,,,,,South America,,obj1043-pl-435
place_041,Cape of Good Hope,Cape of Good Hope,,Cape of Good Hope,,,,,Africa,,obj972-pl-331 || obj1043-pl-432 || obj1843-pl-910 || obj1844-pl-915
place_042,Caracus,Caracus,,,,Caracas,,Venezuela,,,obj1891-pl-954
place_043,Carolina,Carolina,Carolina,,,,,,,,obj868-pl-180 || obj950-pl-284
place_044,Castillo and Leon,Castillo and Leon,,,,,Castile and León,Spain,,,obj1528-pl-385
place_045,Champs Elysees,Champs Elysees,,,Champs Elysees,Paris,Paris,France,,,obj936-pl-267
place_046,Chantilly,Chantilly,,,,Chantilly,Oise,France,,Hauts-de-France,obj1816-pl-870
place_047,Charleston,Charleston,,,,Charleston,South Carolina,United States of America,,,obj757-pl-9 || obj772-pl-32 || obj790-pl-64 || obj850-pl-147 || obj893-pl-203 || obj947-pl-279 || obj958-pl-309 || obj960-pl-313 || obj1020-pl-396 || obj1372-pl-102 || obj1378-pl-108 || obj1395-pl-127 || obj1405-pl-147 || obj1498-pl-328 || obj1510-pl-343 || obj1511-pl-346 || obj1513-pl-351 || obj1530-pl-390 || obj1530-pl-398 || obj1530-pl-405 || obj1536-pl-420 || obj1549-pl-449 || obj1550-pl-451 || obj1616-pl-559
place_048,Cherbourg,Cherbourg,,,,Cherbourg,Manche,France,,Normandy,obj1137-pl-579
place_049,China,China,,,,,,China,,,obj1043-pl-431 || obj1843-pl-909 || obj1844-pl-913
place_050,Cincinatti,Cincinatti,,,,Cincinnati,Tennessee,United States of America,,,obj1530-pl-406
place_051,Cincinnati,Cincinnati,,,,Cincinnati,Tennessee,United States of America,,,obj1613-pl-556
place_052,Cinncinati,Cinncinati,,,,Cincinnati,Tennessee,United States of America,,,obj1557-pl-459
place_053,Cleveland,Cleveland,,,,Cleveland,Ohio,United States of America,,,obj1145-pl-605
place_054,Colombia,Colombia,,,,,,Colombia,,,obj1819-pl-871 || obj1841-pl-902
place_055,Veragua,Veragua,,,,Veragua,,Colombia,,,obj1841-pl-903
place_056,Connecticut,Connecticut,,,,,Connecticut,United States of America,,,obj909-pl-246 || obj1479-pl-303 || obj1773-pl-835
place_057,"Harford, Connecticut","Harford, Connecticut",,,,Hartford,Connecticut,United States of America,,,obj1751-pl-783
place_058,Copenhagen,Copenhagen,,,,Copenhagen,,Denmark,,,obj1249-pl-739
place_059,Cork,Cork,,,,Cork,Cork,Ireland,,,obj769-pl-28
place_060,Costa Rica,Costa Rica,,,,,,Costa Rica,,,obj1144-pl-600
place_061,County of Tuscarawas,County of Tuscarawas,,,,,Tuscarawas County,,,,obj1145-pl-603
place_062,County of Wicklow,County of Wicklow,,,,,Wicklow,Ireland,,,obj980-pl-347
place_063,Cuba,Cuba,,,,,,Cuba,,,obj1053-pl-447 || obj1842-pl-906
place_064,Island of Cuba,Island of Cuba,,,,,,Cuba,,,obj1610-pl-555
place_065,Detroit,Detroit,,,,Detroit,Michigan,United States of America,,,obj1662-pl-643
place_066,Dieppe,Dieppe,,,,Dieppe,Seine-Maritime,France,,Normandy,obj1137-pl-581
place_067,"Coxes buildings, Georgetown, District of Columbia","Coxes buildings, Georgetown, District of Columbia",,,Coxes Buildings,Georgetown,District of Columbia,United States of America,,,obj952-pl-305
place_068,District of Columbia,District of Columbia,,,,,District of Columbia,United States of America,,,obj780-pl-53 || obj831-pl-110 || obj886-pl-196
place_069,"Georgetown, District of Columbia","Georgetown, District of Columbia",,,,Georgetown,District of Columbia,United States of America,,,obj1004-pl-373
place_070,Downpatrick,Downpatrick,,,,Downpatrick,Down,Ireland,,,obj1713-pl-727
place_071,Dresden,Dresden,,,,Dresden,,Germany,,,obj1478-pl-299
place_072,"Belvedere Place, Dublin","15 Belvedere Place, Dublin",,,Belvedere Place,Dublin,Dublin,Ireland,,,obj1138-pl-590
place_073,Dublin,Dublin,,,,Dublin,Dublin,Ireland,,,obj762-pl-15 || obj776-pl-43 || obj783-pl-55 || obj789-pl-61 || obj799-pl-74 || obj936-pl-265 || obj940-pl-269 || obj1183-pl-658 || obj1193-pl-673
place_074,"Kildare Street, Dublin","Kildare Street, Dublin",,,Kildare Street,Dublin,Dublin,Ireland,,,obj980-pl-346
place_075,"north Frederick street, Dublin","3, north Frederick street, Dublin",,,North Frederick street,Dublin,Dublin,Ireland,,,obj873-pl-186
place_076,Trinity College Dublin,Trinity College Dublin,,,Trinity College,Dublin,Dublin,Ireland,,,obj1164-pl-631 || obj1183-pl-656
place_077,East Hartford,East Hartford,,,,East Hartford,Connecticut,United States of America,,,obj1408-pl-152
place_078,Eastern Indies,Eastern Indies,,,,,,East Indies,,,obj1843-pl-908
place_079,Edenburg,Edenburg,,,,Edinburgh,Midlothian,Scotland,,,obj1263-pl-780
place_080,Edgeworthstown,Edgeworthstown,,,,Edgeworthstown,Longford,Ireland,,,obj1060-pl-451
place_081,Edinburgh,[Edinburgh],,,,Edinburgh,Midlothian,Scotland,,,obj863-pl-170
