name_d_id,short_name
ppl:drcalwell,drcalwell
ppl:drcarroll,drcarroll
ppl:drcher,drcher
ppl:drcromwell,drcromwell
ppl:drcross,drcross
ppl:drcurry,drcurry
ppl:drdiddie,drdiddie
ppl:drellison,drellison
ppl:drevans,drevans
ppl:drfearer,drfearer
ppl:drgarland,drgarland
ppl:drgibson,drgibson
ppl:drgillespie,drgillespie
ppl:drgoodwin,drgoodwin
ppl:drhawkes,drhawkes
ppl:drhorer,drhorer
ppl:drhuber,drhuber
ppl:drjoynes,drjoynes
ppl:drkay,drkay
ppl:drking,drking
ppl:drlefort,drlefort
ppl:drlinton,drlinton
ppl:drlouis,drlouis
ppl:drm,drrmacdonnell
ppl:drmacmillan,drmacmillan
ppl:drmeigh,drmeigh
ppl:drminn,drminn
ppl:drmorier,drmorier
ppl:drnoth,drnoth
ppl:drperry,drperry
ppl:drriley,drriley
ppl:drrobbins,drrobbins
ppl:drromaine,drromaine
ppl:drseymour,drseymour
ppl:drstille,drstille
ppl:drtaloossens,drtaloossens
ppl:drtucker,drtucker
ppl:drtuft,drtuft
ppl:drvrather,drvrather
ppl:drwcrawford,drwcrawford
ppl:drwilkes,drwilkes
ppl:dsear,dsear
ppl:dsheldon,dsheldon
ppl:dshepperd,dshepperd
ppl:dsmith,dsmith
ppl:dswilson,dswilson
ppl:_dumas,dumas
ppl:_dumurton,dumurton
ppl:_dunenir,dunenir
ppl:dunsbradford,dunsbradford
ppl:_duvallon,duvallon
ppl:dvaucel,dvaucel
ppl:_dvillarme,dvillarme
ppl:dvivant,dvivant
ppl:dwardenj,dwardenj
ppl:dwclinton,dwclinton
ppl:dwcox,dwcoxe
ppl:dwebster,dwebster
ppl:dwhite,dwhite
ppl:_dwight,dwight
ppl:eag,eagodefroy
ppl:eavail,eavail
ppl:ebmullanphy,ebmullanphy
ppl:eco,ecoles
ppl:ecollins,ecollins
ppl:_edgar,edgar
ppl:edking,ekingsborough
ppl:edmblunt,edmblunt
ppl:edperrey,edeperrey
ppl:edwhar,edwhar
ppl:eev,eeverett
ppl:efjomard,efjomard
ppl:efleitner,efleitner
ppl:egambler,egambler
ppl:egreb,egrebb
ppl:ehwillard,ehwillard
ppl:eispence,eispence
ppl:ejlewell,ejlewell
ppl:ejlowell,ejlowell
ppl:ejpringle,ejpringle
ppl:ekennie,ekennie
ppl:elang,elang
ppl:eleanorpclewis,eleanorpclewis
ppl:elivingston,elivingston
ppl:elizabethspencer,elizabethspencer
ppl:elizalaw,elizalawlee
ppl:elizemmet,elizemmet
ppl:eob,eobenger
ppl:epaquenaud,epaquenaud
ppl:epb,elizpbonaparte
ppl:epc,elizcustis
ppl:epeace,epeace
ppl:esbodin,esoulangebodin
ppl:estover,estover
ppl:evchilde,evchilde
ppl:eweeks,eweeks
ppl:fakemble,fakemble
ppl:famichaux,famichaux
ppl:famuhlenberg,famuhlenberg
ppl:farago,farago
ppl:faslegare,fasmithlegare
ppl:fbloodgood,fbloodgood
ppl:fbmarbois,fbarbemarbois
ppl:fbowen,fbowen
ppl:fbradley,fbradley
ppl:fcgray,fcgray
ppl:fclh,fcdelaharpe
ppl:fddtaylor,fddtaylor
ppl:_featherstonhaugh,featherstonhaugh
ppl:fenom,mrfenomartin
ppl:ffraley,ffraley
ppl:fguizot,fguizot
ppl:fhall,fhall
ppl:_fisher,fisher
ppl:fjdg,fjdegratet
ppl:fjlefebvre,fjlefebvre
ppl:flescal,flescaliis
ppl:_floureus,floureus
ppl:fmarkoe,fmarkoe
ppl:fmarx,fmarx
ppl:fmignet,fmignet
ppl:fmpdlac,fmpdulac
ppl:fojsmith,fojsmith
ppl:_fomina,fomina
ppl:_fournier,fournier
ppl:fpascalis,fpascalis
ppl:fpdorleans,fpdorleans
ppl:fprobinson,fprobinson
ppl:francisjohnson,francisjohnson
ppl:_frank,frank
ppl:frdablois,frdablois
ppl:fredbronson,fredbronson
ppl:fwlincoln,fwlincoln
ppl:fwr,fwright
ppl:_gallinoli,gallinioli
ppl:_gambart,gambart
ppl:gan,gandral
ppl:gbbrown,gbbrown
ppl:gbdepping,gbdepping
ppl:gbrul,gbrul
ppl:gburgess,gburgess
ppl:gcfmr,gcfmriche
ppl:gcld,cllefebvredesnouettes
ppl:gcomme,gcomme
ppl:gcpotts,gcpotts
ppl:gcrayon,gcrayon
ppl:gcshattuck,gcshattuck
ppl:gcu,gcuvier
ppl:gcv,gcverplanck
ppl:gdltollendal,gdeltollendal
ppl:gdprony,gdeprony
ppl:generalbass,generalbass
ppl:gengmason,gengmason
ppl:genhamilton,genhamilton
ppl:genmacomb,genmacomb
ppl:geobancroft,geobancroft
ppl:geobradburn,geobradburn
ppl:geochilton,geochilton
ppl:geolaw,geolaw
ppl:geovaughan,geovaughan
ppl:_gerardlableau,gerardlableau
ppl:gfrick,gfrick
ppl:gfsimons,gfsimons
ppl:ggi,ggibbs
ppl:ggtone,ggtone
